record_id,lead_source_id,lane,title,authors,year,publication,doi,canonical_url,accessed_on,access_status,evidence_scope,sequence_allegation,sequence_assessment,sequence_intervention,sequence_review,sequence_later_outcome,disposition,notes
ES-001,,Escuelita primary design and outward intention,Space full in communities for the Zapatista little school,Ejercito Zapatista de Liberacion Nacional; Subcomandante Insurgente Moises,2013,Enlace Zapatista,,https://enlacezapatista.ezln.org.mx/2013/06/16/space-full-in-communities-for-the-zapatista-little-school/,2026-08-15,complete official English translation inspected,"First-session capacity, host-family and Votan teaching structure, materials, and stated possibility of sending teachers elsewhere",not applicable,community capacity was expanded from 500 to 1000 and then 1500 students,"families, guardians, teachers, videos, textbooks, later remote materials, and possible invited teaching teams",the movement limited enrollment to housing and care capacity,"establishes exposure design and outward intent, not alumni adoption or outcomes",F-198 search-frame context; no separate finding,Primary movement statement. Intent is not evidence that later teaching teams or descendant institutions materialized.
ES-002,ES-001,Escuelita primary participant profile,L@s condiscipul@s V. L@s estudiant@s,Ejercito Zapatista de Liberacion Nacional; Subcomandante Insurgente Marcos,2013,Enlace Zapatista,,https://enlacezapatista.ezln.org.mx/2013/06/27/ls-condiscipuls-v-ls-estudiants/,2026-08-15,complete official Spanish statement inspected,Invitation responses and first August 2013 community and CIDECI enrollment profile,not applicable,"about 3000 invitations, about 2500 affirmative replies, 1500 community students, and about 200 CIDECI students",large in-person and materials-based political education encounter,no public alumni registry or longitudinal follow-up is supplied,"large exposure population; no adoption, project-formation, failure, or later-outcome denominator",F-198 search-frame context; no separate finding,"Use the official approximate counts as design context, not as a count of later sprouts."
ES-003,,Escuelita alumni immediate solidarity,Miembros de la UNAM apoyan a las bases de apoyo zapatistas agredidas,UNAM members and Escuelita alumni,2014,Enlace Zapatista,,https://enlacezapatista.ezln.org.mx/2014/02/24/miembros-de-la-unam-apoyan-a-las-bases-de-apoyo-zapatistas-agredidas/,2026-08-15,complete officially reposted statement inspected,Public solidarity action by university members including recent Escuelita alumni,reported aggression against Zapatista support bases,participants explicitly connect response to recent Escuelita coexistence,public denunciation and solidarity statement,no later organizational review described,observable alumni action within months; no persistence or community outcome,F-193 promoted,Strong for an alumni identity and action; not a representative alumni outcome.
ES-004,,Escuelita alumni international solidarity,Pronunciamiento de alumn@s de la Escuelita zapatista en agosto de 2013,Ten August 2013 Escuelita alumni in Italy,2014,Enlace Zapatista,,https://enlacezapatista.ezln.org.mx/2014/05/06/pronunciamiento-de-alumns-de-la-escuelita-zapatista-en-agosto-de-2013/,2026-08-15,complete officially reposted statement inspected,Named international alumni statement after the La Realidad attack,"killing, injuries, and destruction reported at La Realidad",signers identify their shared August 2013 student experience,"joint denunciation, demands, and solidarity",no organizational structure or follow-up review described,observable international alumni mobilization; no descendant institution or human outcome,F-193 promoted,"Named signers establish participation and joint action, not a stable organization."
ES-005,,Escuelita alumni material solidarity,Vendimia solidaria desde Colima en apoyo a la transportacion del CNI,Escuelita alumni and Sixth Declaration adherents in Colima,2014,Enlace Zapatista,,https://enlacezapatista.ezln.org.mx/2014/07/17/vendimia-solidaria-desde-colima-en-apoyo-a-la-transportacion-del-cni/,2026-08-15,complete officially reposted event notice inspected,Fundraising event organized by alumni and allies for CNI travel,travel-resource need for Indigenous delegates,local organizers set a public fundraiser,"food sale, exhibits, media, and cultural activities",no audited amount or later review reported,observable material solidarity; no evidence of organizational durability or participant outcomes,F-193 promoted,One event demonstrates collective capacity but not institutional replication.
ES-006,ES-003,Escuelita alumni continuing political action,La Sexta llama a marchar: 11 meses de impunidad. Nos faltan 43,"Sixth Declaration collectives, organizations, individuals, and Escuelita alumni in the Valley of Mexico",2015,Centro de Medios Libres Mexico,,https://www.centrodemedioslibres.org/2015/08/26/11-meses-de-impunidad-y-nos-faltan-43-la-exta-lama-a-marchar/,2026-08-15,complete public event notice inspected,Escuelita alumni named among conveners of an Ayotzinapa march almost two years after the first session,disappearance of 43 students and killings,collectives and alumni issue a public call,"march and demands for truth, justice, and release of political prisoners",no participation denominator or later review,alumni category remained politically operative in 2015; no direct communal institution outcome,F-193 promoted,"Supports continuity beyond the immediate aftermath, not continuous identity of any one group."
ES-007,,Escuelita-linked post-2013 coordination candidate,Festival y Comparticion CompArte por la Humanidad sede alterna Grietas en el Muro,Espacio de Coordinacion Grietas en el Muro and partner collectives,2016,Enlace Zapatista,,https://enlacezapatista.ezln.org.mx/2016/07/02/festival-y-comparticion-comparte-por-la-humanidad-sede-alterna-grietas-en-el-muro/,2026-08-15,complete officially reposted event statement inspected,Creation of an alternate CompArte site by collectives and individuals including Sixth Declaration adherents and Escuelita students,need for a local response to the EZLN CompArte call,"mixed group of existing collectives, adherents, and alumni organized a Mexico City site","two-day festival, prior sharing session, workshops, arts, dialogue, and exchange",named coordination space and partner list provide an observable organizational node,post-Escuelita organization-level candidate with explicitly mixed lineage; later persistence requires separate records,F-195 promoted,Does not say the Escuelita alone founded the coordination space or describe its internal governance.
ES-008,ES-007,Escuelita-linked candidate persistence,Viaje colectivo a la Asamblea convocada por el CNI El Istmo es Nuestro,Espacio de Coordinacion Grietas en el Muro; Mujeres y la Sexta; Red Movimiento y Corazon Zapatista,2019,Enlace Zapatista,,https://enlacezapatista.ezln.org.mx/2019/08/29/viaje-colectivo-a-la-asamblea-convocada-por-el-cni-el-istmo-es-nuestro/,2026-08-15,complete officially reposted event notice inspected,Named Grietas en el Muro coordination role three years after the 2016 CompArte record,travel and coordination for a CNI assembly,three organizations convened transportation,collective travel and assembly support,no internal governance or membership continuity audit,public organizational activity in 2019,F-195 persistence corroboration; no separate finding,Activity persistence is not proof that the same people or practices persisted.
ES-009,ES-007,Escuelita-linked candidate persistence,Diversos colectivos convocan al Mictlan Rebelde 2022,Espacio de Coordinacion Grietas en el Muro and partner collectives,2022,Enlace Zapatista,,https://enlacezapatista.ezln.org.mx/2022/10/29/diversos-colectivos-convocan-al-mictlan-rebelde-2022-no-morira-la-flor-de-la-palabra/,2026-08-15,complete officially reposted event notice inspected,Grietas en el Muro named as a convener of the eighteenth Mictlan Rebelde gathering,militarization and violence against Indigenous peoples,partner organizations issued a public call,"political-cultural gathering, workshops, music, art, and memory work",no organization-level outcome evaluation,public organizational activity in 2022,F-195 persistence corroboration; no separate finding,"Supports durable public visibility of the coordination space, not residential or governance replication."
ES-010,ES-007,Escuelita-linked candidate persistence,Pronunciamiento alto a la guerra contra los pueblos zapatistas,Congreso Nacional Indigena and international and Mexican signatories,2024,Congreso Nacional Indigena,,https://www.congresonacionalindigena.org/2024/10/21/pronunciamiento-alto-a-la-guerra-contra-los-pueblos-zapatistas/,2026-08-15,complete primary movement statement and organization list inspected,Espacio de Coordinacion Grietas en el Muro appears as a named Mexican signatory in October 2024,violence and threats against Zapatista communities,CNI assembled a broad solidarity statement and signatory list,public denunciation and coordinated solidarity,signatory presence only; no audit of activity or membership,confirms public organizational identity through at least October 2024,F-195 persistence corroboration; no separate finding,"A signature establishes current public identification, not continuous operations or outcomes."
ES-011,,participant follow-up and practice transfer,On Community Building and the Zapatista Movement,Charlotte Maria Saenz; Zara Zimbardo,2023,California Institute of Integral Studies podcast transcript,,https://www.ciis.edu/podcast/charlotte-saenz-and-zara-zimbardo-community-building-and-zapatista-movement,2026-08-15,complete public transcript inspected,Organizer reflection on five or six CIIS delegations between 2012 and 2018 and later encounters with former students,"hierarchy, colonialism, and fragmented ways of living and learning","first-person retrospective observation, not a structured alumni study","Escuelita and other encounters; later care, organizing, political, and NGO work said to carry principles",former students were encountered at a later Albuquerque Zapatista encuentro,qualitative practice-transfer signal with bundled exposure and no named denominator or human outcomes,F-194 promoted,"The trips included several kinds of Zapatista encounter, so the effect cannot be assigned solely to the Escuelita."
ES-012,LP-005,Zapatista seed-pedagogics qualitative study,"Zapatista Seed Pedagogics: Beyond Rights, Creating a Decolonizing Co-education",Charlotte Maria Saenz,2023,International Journal of Human Rights Education 7(1),,https://repository.usfca.edu/ijhre/vol7/iss1/4/,2026-08-15,"public abstract, author metadata, and methods description inspected; PDF endpoint returned 403 in this pass",Qualitative transgeographic interviews with pro-Zapatista interlocutors involved in local social-change processes,oppressive power relations and colonial education,qualitative interviews with movement-adjacent interlocutors,learning to learn and listen differently and mutual political-ethical education,reflexive and relational process rather than a fixed blueprint,supports outward learning and local process involvement but not Escuelita-specific project lineage or comparative outcomes,F-194 promoted,Sympathetic interlocutors are not a representative alumni cohort.
ES-013,ES-012,Zapatista translocal seed-pedagogics follow-up,Sowing Indigenous Autonomy: Building a Common Political-Ethical Territory of Struggle with Zapatista Seed Pedagogics,Charlotte Maria Saenz,2024,Latin American Perspectives 51(5),10.1177/0094582X241288861,https://doi.org/10.1177/0094582X241288861,2026-08-15,"publisher abstract, methods summary, metadata, and references inspected",Interviews with external activists in neo-Zapatista networks over three decades,"internalized hierarchies, vanguards, historical erasure, and nation-state political identity",qualitative interviews and evolving conversations,"reflexive learning, ancestral memory, and organization of collectivities",life-long learning and transgeographic political-ethical subjectivity,reports collective organization beyond Chiapas without isolating the Escuelita or measuring durability and human outcomes,F-194 promoted,A broader Zapatista diffusion study; it cannot identify an Escuelita treatment effect.
ES-014,,named Escuelita participant micro-trace,Locked Arms and Open Hearts for Ayotzinapa,Levi Gahman,2014,Briarpatch Magazine,,https://briarpatchmagazine.com/articles/view/locked-arms-open-hearts-for-ayotzinapa,2026-08-15,complete public article and author note inspected,Former Escuelita student's account of a small Okanagan Valley student solidarity mobilization,disappearance and killing of Ayotzinapa students,"participants organized despite limited time, money, and institutional access","banners, photos, gatherings, and transnational solidarity",author note links participant identity to RAMA organizing,named path from Escuelita participation to later organizing activity; no causal or outcome evaluation,F-196 promoted,The article does not say the Escuelita created RAMA or caused the action.
