finding_id,track,source_record_id,source_file,journal_volume_issue_year,article_title,author,community_group,page_locator,printed_page_number,supporting_excerpt,source_access,evidence_type,exact_factual_observation,what_source_establishes,what_source_does_not_establish,author_interpretation,alternative_interpretation,response_process,outcome,transferability,article_gap_status,likely_article_destination,confidence,external_verification_needed,notes
F-001,Track A direct,M-0163,006-anarchy-community-at-modern-times-1851-1863.pdf,"Vol. 3, no. 1 (1983)","Anarchy & Community at Modern Times, 1851-1863",John Calvin Spurlock,Modern Times,PDF pp. 17-18 of article file; printed pp. 45-46,45-46,,full text,historical secondary,A retrospective account says residents informally refused trade and speech to people considered undesirable until they left.,The settlement used distributed ostracism as a non-state removal mechanism.,"It does not document allegations, notice, appeal, proportionality, or the removed people's accounts.",Informal community pressure substituted for formal government.,"The account may exaggerate coherence and is based on a late, hostile, pseudonymous source.",Collective refusal of economic and social contact.,Targets reportedly left; no later safety or reintegration outcome is recorded.,Useful mainly as a warning that separation power needs explicit procedure.,C,From visitor to member / a new discipline-and-separation section,low,yes,The cited 1870 account postdates the nominal 1851-1863 study period.
F-002,Track A adjacent,M-0163,006-anarchy-community-at-modern-times-1851-1863.pdf,"Vol. 3, no. 1 (1983)","Anarchy & Community at Modern Times, 1851-1863",John Calvin Spurlock,Modern Times,PDF p. 17; printed p. 45,45,,full text,historical secondary,The same informal sanction was used against a woman whose dress and publicity offended local norms; she left.,A removal tool aimed at harmful conduct can also enforce conformity.,It does not establish that the woman posed a safety risk.,The episode illustrates community standards operating without law.,It may instead show gendered norm enforcement and reputational punishment.,Public criticism and social pressure.,Departure.,"Any expulsion system needs a conduct threshold, protected nonconformity, and review.",C,From visitor to member / governance safeguards,medium,yes,Relevant precisely because the target was not shown to be dangerous.
F-003,Track A direct,M-0202,020-the-ashram-of-graton-road-morning-star-ranch-a-california-commune-in-the-1960-s.pdf,"Vol. 4, no. 1 (1984)","The Ashram of Graton Road: Morning Star Ranch, a California Commune in the 1960's",Jefferson P. Selth,Morning Star Ranch,PDF pp. 4-8; printed pp. 207-211,207-211,access denied to none,full text,participant-observer historical account,"An open-access rule and near-absence of resident rules coincided with a large nonworking transient population, serious sanitation failures, and incidents involving knives, guns, assault, and hepatitis.",Warmth and unrestricted entry did not supply a safety boundary or carrying-capacity control.,It does not isolate which governance change would have prevented each incident.,The author treats principled openness and administrative incapacity as central to collapse.,County hostility and code enforcement also materially shaped the ending.,Little internal screening or enforceable discipline; county legal and health processes became the operative boundary.,The county closed the settlement and structures were demolished.,"High: admissions, minimum conduct, health capacity, and emergency authority must be designed together.",A,From visitor to member / math of absorption,high,no,"The current article already uses an open-door failure; this is an independent, concrete case."
F-004,Track A direct,M-0225,009-the-brotherhood-of-the-sun-1969-1985-a-memoir.pdf,"Vol. 5, no. 1 (1985)","The Brotherhood of the Sun, 1969-1985: A Memoir",Melanie Arcudi and Pauline Meyer,Brotherhood of the Sun,PDF pp. 3-7; printed pp. 84-88,84-88,,full text,participant memoir with editorial framing,"A council remained subject to Norman Paulsen's approval while many members reportedly did not know about a weapons arsenal; the memoir also alleges substance misuse, unchecked spending, and arrests involving impaired driving and assault with a deadly weapon.","Nominal councils do not constrain a leader who controls information, security, and final approval.",The memoir alone does not independently prove every allegation or establish criminal disposition.,The authors present leader capture and secrecy as causes of decline.,Some details may reflect a dissident faction's retrospective account.,Internal protest followed by expulsion; later litigation by former members.,Population fell sharply; property was sold; the lawsuit did not deliver a documented remedy.,High for structural warning; lower for individual allegations.,B,Founderism: the four questions,medium,yes,"Do not diagnose the leader; verify arrests, property, and litigation before publication."
F-005,Track A direct,M-0225,009-the-brotherhood-of-the-sun-1969-1985-a-memoir.pdf,"Vol. 5, no. 1 (1985)","The Brotherhood of the Sun, 1969-1985: A Memoir",Melanie Arcudi and Pauline Meyer,Brotherhood of the Sun,PDF pp. 5-7; printed pp. 86-88,86-88,,full text,participant memoir,Members who protested were reportedly expelled after eight to ten years without financial assistance and labeled traitors.,"Exit can be formally available yet punitive when livelihood, equity, identity, and reputation are leader-controlled.",It does not provide a complete accounting of contributions or governing documents.,The memoir treats the expulsions as retaliation and dispossession.,The leadership's justification is not presented in comparable detail.,Leader-controlled removal and reputational labeling.,Departure without documented settlement; attempted group lawsuit failed.,"High as a design question: separation must include neutral accounting, anti-retaliation, and appeal.",C,Money and land / exit terms,medium,yes,Pair with independent records before naming specific alleged wrongdoing in the article.
F-006,Track A direct,M-0192,010-darkness-into-light-laurence-oliphant-s-experience-of-communal-discipline-in-the-united-states-palestine.pdf,"Vol. 4, no. 1 (1984)",Darkness into Light: Laurence Oliphant's Experience of Communal Discipline in the United States & Palestine,Anne Taylor,Brotherhood of the New Life / Thomas Lake Harris,PDF pp. 4-9; printed pp. 90-95,90-95,,full text,archival biography,"Harris claimed unusual access to followers' thoughts and used humiliation, isolation, exhausting labor, food and sleep deprivation, and alleged beatings; Oliphant remained for more than a decade before outside family support helped him leave.","Spiritualized surveillance plus deprivation can disable internal resistance, and ordinary outside ties can become exit infrastructure.",The article does not supply a comparative sample or a formal intervention evaluation.,Taylor describes a progression from enchantment to domination and escape.,"A follower might have described some practices as voluntary discipline, but the deprivation and violence claims undermine meaningful consent.",Personal domination; eventual support from wife and family rather than an internal remedy.,Oliphant exited and publicly broke with Harris.,High for non-waivable rights and protected external contact.,C,Founderism / a new non-waivable rights safeguard,medium,yes,Verify the most serious abuse and suicide claims in Taylor's underlying biography before publication.
F-007,Both,M-0229,013-redemptory-intimacy-the-family-culture-of-the-unification-church.pdf,"Vol. 5, no. 1 (1985)",Redemptory Intimacy: The Family Culture of the Unification Church,Arthur S. Parsons,Unification Church,PDF pp. 3-31; printed pp. 139-167,139-167,,full text,participant observation and interviews,"Personal disclosure and confession were routed upward to central figures; members were pressured to confess disapproved feelings, while acceptance and emotional uplift followed compliance.",A practice can feel intimate and therapeutic while supplying information and leverage to a hierarchy.,It does not measure long-term clinical benefit or compare participants with nonparticipants.,Parsons argues that emotional intimacy organizes personalized social control.,Participants may have experienced genuine support alongside control; the two are not mutually exclusive.,"Disclosure, correction by superiors, and conditional approval.","The article documents obedience and solidarity, not an independent safety or recovery outcome.",High: care data should be confidential and structurally separated from sanctions and membership decisions.,C,Peer counseling / the four domains,high,no,Mechanism is more transferable than the paper's broad characterization of members.
F-008,Both,M-0229,013-redemptory-intimacy-the-family-culture-of-the-unification-church.pdf,"Vol. 5, no. 1 (1985)",Redemptory Intimacy: The Family Culture of the Unification Church,Arthur S. Parsons,Unification Church,PDF pp. 25-38; printed pp. 161-174,161-174,,full text,participant observation and interviews,Rules were displaced by personalized accountability to spiritual superiors; aggression was redirected inward as personal failure or outward toward the secular world.,Distributed emotional practice is not by itself distributed authority; informal personalism can be more controlling than explicit rules.,The article does not show that all intimate practice has this effect.,The author concludes that intimacy in this case thrives on authoritarian personalism.,"The mechanism depends on hierarchy, compulsory disclosure, and fused roles, not intimacy alone.",Correction through personal superiors rather than impersonal rights or review.,High solidarity and self-sacrifice; no demonstrated independent remedy for abuse of authority.,"High if framed as a firewall requirement, not an indictment of peer counseling.",D,The four domains / community as therapist,high,no,Direct challenge to treating healing capacity as sufficient protection against capture.
F-009,Track A adjacent,M-0282,005-the-status-and-self-perception-of-women-in-the-oneida-community.pdf,"Vol. 8, no. 1 (1988)",The Status and Self-Perception of Women in the Oneida Community,Ellen Wayland-Smith,Oneida Community,PDF pp. 34-38; printed pp. 49-53,49-53,,full text,archival analysis of private letters and diaries,"The author finds roughly equal male and female status but also shared submission to Noyes, whose authority was fused with divine authority; later letters describe pressure and regret.","Horizontal equality can coexist with vertical domination, so within-group parity is an incomplete freedom test.",The study closely analyzes only a few writers and emphasizes the breakup period.,Dependence on Noyes's mediated will limited broader liberation.,Members also described genuine connection and benefits; retrospective regret did not make every aspect coercive.,Mutual criticism and leader-defined spiritual obedience.,Community cohesion weakened as members began interpreting belief independently; the community later broke up.,"High as an evaluation lens: ask who can define reality, not only who is equal to peers.",B,Founderism / success criteria,medium,no,The paper's gender theory is dated; the archival power evidence remains useful.
F-010,Track A adjacent,M-0286,009-donald-vose-home-grown-traitor.pdf,"Vol. 8, no. 1 (1988)",Donald Vose: Home Grown Traitor,Anitra Balzer,Home Colony,PDF pp. 8-14; printed pp. 97-103,97-103,,full text,historical biography,Vose informed investigators in a case arising from the 1910 Los Angeles Times bombing and was subsequently framed by former associates as a traitor and ostracized.,A community's harmful-person label can be inverted against an informer or dissident.,The article does not neutrally establish Vose's motives or every disputed event.,Balzer presents Vose as a morally compromised traitor.,The same record can be read as a warning about loyalty norms punishing external reporting.,Reputational condemnation and social exclusion.,Vose testified; the defendants were convicted; he remained estranged from the community.,High for protected reporting; low for conclusions about Vose's character.,C,Governance safeguards / external reporting,medium,yes,"Use as a framing caution, not a heroic or villainous biography."
