record_id,record_type,drive_file_id,drive_filename,drive_mime_type,drive_size_bytes,archive_filename,internal_filename,volume,issue,article_number,year,article_title,author,printed_page_range,pdf_pages,sha256,text_extraction_status,research_status,local_path,text_path,notes
D-001,drive_standalone,REDACTED,"Alienation and charisma _ a study of contemporary American -- Zablocki, Benjamin David, 1941-, None -- New York, New York State, 1980 -- New York _ -- isbn13 9780029357804 -- 72f23810c1c2ab152c625338eb11c4f5 -- Anna’s Archive.pdf",application/pdf,23783671,,,,,,,,,,,,not_retrieved,not processed,,,Standalone source; retrieval pending
D-002,drive_standalone,REDACTED,"Commitment and Community _ Communes and Utopias in -- Kanter, Rosabeth Moss -- Harvard University Press, Cambridge, Mass, 1972 -- Cambridge, Mass_, -- isbn13 9780674145757 -- 7665a6127530044aece655ba0ec4c4f1 -- Anna’s Archive.pdf",application/pdf,15933042,,,,,,,,,,,,not_retrieved,not processed,,,Standalone source; retrieval pending
D-003,drive_archive,REDACTED,COMMUNAL-SOCIETIES-v41-v45.zip,application/zip,55770584,COMMUNAL-SOCIETIES-v41-v45.zip,,,,,,,,,,e2fa3989d489ace25ce12c29aa6d523ec3e9918282f032bcb4caa5a40fcdcc5c,not_applicable,not processed,raw/COMMUNAL-SOCIETIES-v41-v45.zip,,Drive inventory row; archive downloaded and integrity-tested; members follow
D-004,drive_standalone,REDACTED,evil-genes-why-rome-fell-hitler-rose-enron-failed-and-my-sister-stole-my-mothers-boyfriend_compress.pdf,application/pdf,5518847,,,,,,,,,,,,not_retrieved,not processed,,,Standalone source; retrieval pending
D-005,drive_standalone,REDACTED,S2513843X21000207a.pdf,application/pdf,375081,,,,,,,,,,,,not_retrieved,not processed,,,Standalone source; retrieval pending
D-006,drive_standalone,REDACTED,"The !Kung San _ men, women, and work in a foraging society -- Lee, Richard B, author -- Cambridge, [Eng_], New York, England, 1979 -- Cambridge -- isbn13 9780521225786 -- ea8dcbf92efb7148509fbc2e996fa18d -- Anna’s Archive.pdf",application/pdf,32740431,,,,,,,,,,,,not_retrieved,not processed,,,Standalone source; retrieval pending
D-007,drive_standalone,REDACTED,"The mountain people -- Turnbull, Colin M -- A Touchstone book, New York, 1987, ©1972 -- New York _ Simon & Schuster -- isbn13 9780671640989 -- 794ee9a5db82dbf296df114f88a2f541 -- Anna’s Archive.pdf",application/pdf,17300144,,,,,,,,,,,,not_retrieved,not processed,,,Standalone source; retrieval pending
D-008,drive_standalone,REDACTED,"The Riddle of Amish Culture (revised) -- Kraybill, Donald B_ -- Johns Hopkins University Press, Baltimore, 2001 -- Johns Hopkins University Press -- isbn13 9780801867712 -- b54277fd85d4097d41755a273a224acc -- Anna’s Archive.epub",application/epub+zip,10492959,,,,,,,,,,,,not_retrieved,not processed,,,Standalone source; retrieval pending
D-009,drive_archive,REDACTED,vol01-25.zip,application/zip,70803110,vol01-25.zip,,,,,,,,,,8461bf55c9d464937c28e49030912b5cc06adabdc8f83b23782a6b1c1601ab18,not_applicable,not processed,raw/vol01-25.zip,,Drive inventory row; archive downloaded and integrity-tested; members follow
D-010,drive_archive,REDACTED,vol26-28.zip,application/zip,84142932,vol26-28.zip,,,,,,,,,,5ccad3867f4b8c8fc628074099f70745f85fbc555c65052b1aa85ca2d1159e29,not_applicable,not processed,raw/vol26-28.zip,,Drive inventory row; archive downloaded and integrity-tested; members follow
D-011,drive_archive,REDACTED,vol29-30.zip,application/zip,59831797,vol29-30.zip,,,,,,,,,,aa7419997498c914c5c555a8bd845c8f1fa38faec9a2bd4657bfb071cc014062,not_applicable,not processed,raw/vol29-30.zip,,Drive inventory row; archive downloaded and integrity-tested; members follow
D-012,drive_archive,REDACTED,vol31.zip,application/zip,25501927,vol31.zip,,,,,,,,,,639c898fdb05d822850bd2bed975e8e6c6dd76d69515f6f0aeb2ffb6cee0933e,not_applicable,container processed; 31 member PDFs triaged,recovered/vol31.zip,,"Drive inventory row; archive downloaded, integrity-tested, and processed; 31 members follow"
D-013,drive_archive,REDACTED,vol32-iss1.zip,application/zip,52973234,vol32-iss1.zip,,,,,,,,,,d110decb49fdb935cee2f94a14055e52de3ab8fc6119e3734a0f908aab8ab7f9,not_applicable,container processed; 13 member PDFs triaged,recovered/vol32-iss1.zip,,"Drive inventory row; archive downloaded, integrity-tested, and processed; 13 members follow"
D-014,drive_archive,REDACTED,vol32-iss2.zip,application/zip,61802532,vol32-iss2.zip,,,,,,,,,,326193a31caa09ce1d9fd2d7908c445c31648df5f3f88f1f726b24b51307fbd5,not_applicable,container processed; 14 member PDFs triaged,recovered/vol32-iss2.zip,,"Drive inventory row; archive downloaded, integrity-tested, and processed; 14 members follow"
D-015,drive_archive,REDACTED,vol33.zip,application/zip,96183475,vol33.zip,,,,,,,,,,c8aca658bc7dfc344e75ca81dd3f16fb6f42ed374d09d0ae55e243b8edb41cbb,not_applicable,container not locally materialized; 36 publisher member PDFs hash-verified and triaged,,,Drive inventory row; archive container not locally materialized in this checkpoint; all 36 member PDFs independently recovered from the primary publisher and matched saved inventory SHA-256 values
D-016,drive_archive,REDACTED,vol34.zip,application/zip,78924689,vol34.zip,,,,,,,,,,56f1aa8f6c45a57df42c49f16fc73ec12b6ca04c20647ec90380ca48ebd95786,not_applicable,container not locally materialized; 29 publisher member PDFs hash-verified and triaged,,,Drive inventory row; archive container not locally materialized in this checkpoint; all 29 member PDFs independently recovered from the primary publisher and matched saved inventory SHA-256 values
D-017,drive_archive,REDACTED,vol35-40.zip,application/zip,78015463,vol35-40.zip,,,,,,,,,,95f87d2210fc829ca76b7b495e24d9057db5d4acefe4c055c4f8d41bc32afb39,not_applicable,not processed,raw/vol35-40.zip,,Drive inventory row; archive downloaded and integrity-tested; members follow
D-018,drive_standalone,REDACTED,Zarpentinedissertation.pdf,application/pdf,1736362,,,,,,,,,,,,not_retrieved,not processed,,,Standalone source; retrieval pending
M-0001,archive_manifest,REDACTED,COMMUNAL-SOCIETIES-v41-v45.zip,application/zip,55770584,COMMUNAL-SOCIETIES-v41-v45.zip,SHA256SUMS.txt,,,,,,,,,f4a52af784e636ad7c90c913aa061502feaa31c7084c83a672e08376b8408f33,not_applicable,not applicable,unpacked/COMMUNAL-SOCIETIES-v41-v45/SHA256SUMS.txt,,
M-0002,archive_pdf,REDACTED,COMMUNAL-SOCIETIES-v41-v45.zip,application/zip,55770584,COMMUNAL-SOCIETIES-v41-v45.zip,archive/vol41/iss1/001-international-herb-the-career-of-shaker-herbalist-elisha-myrick.pdf,41,1,1,2021,International Herb: The Career of Shaker Herbalist Elisha Myrick,Christian Goodwillie,,33,bf9c17ddfa28ccdd9935df0a4fadf234fcf7c7e4af78caae8dd2b7516c4db3f7,extracted,not processed,unpacked/COMMUNAL-SOCIETIES-v41-v45/archive/vol41/iss1/001-international-herb-the-career-of-shaker-herbalist-elisha-myrick.pdf,text/COMMUNAL-SOCIETIES-v41-v45/archive/vol41/iss1/001-international-herb-the-career-of-shaker-herbalist-elisha-myrick.txt,kind=article
M-0003,archive_pdf,REDACTED,COMMUNAL-SOCIETIES-v41-v45.zip,application/zip,55770584,COMMUNAL-SOCIETIES-v41-v45.zip,archive/vol41/iss1/002-contact-tracing-reflections-on-shaker-fever-amid-pandemic-lockdowns.pdf,41,1,2,2021,"Contact Tracing: Reflections on â•œShaker Feverâ•š Amid
Pandemic Lockdowns",Carol Medlicott,,10,6bd0984466fc041e3c73d0e1f6ee3a0e8131e8444f9e0a5e0a5bbbc42b822372,extracted,not processed,unpacked/COMMUNAL-SOCIETIES-v41-v45/archive/vol41/iss1/002-contact-tracing-reflections-on-shaker-fever-amid-pandemic-lockdowns.pdf,text/COMMUNAL-SOCIETIES-v41-v45/archive/vol41/iss1/002-contact-tracing-reflections-on-shaker-fever-amid-pandemic-lockdowns.txt,kind=article
M-0004,archive_pdf,REDACTED,COMMUNAL-SOCIETIES-v41-v45.zip,application/zip,55770584,COMMUNAL-SOCIETIES-v41-v45.zip,archive/vol41/iss1/003-back-matter.pdf,41,1,3,2021,Back Matter,,,3,81043bdcb3143c818435eaee9238e4723335d4d2fb1e4f834db9bc3359f44fc5,extracted,not processed,unpacked/COMMUNAL-SOCIETIES-v41-v45/archive/vol41/iss1/003-back-matter.pdf,text/COMMUNAL-SOCIETIES-v41-v45/archive/vol41/iss1/003-back-matter.txt,kind=back_matter
M-0005,archive_pdf,REDACTED,COMMUNAL-SOCIETIES-v41-v45.zip,application/zip,55770584,COMMUNAL-SOCIETIES-v41-v45.zip,archive/vol41/iss1/004-review-of-kingdom-of-nauvoo-the-rise-and-fall-of-a-religious-empire-on-the-american-frontier.pdf,41,1,4,2021,"Review of Kingdom of Nauvoo: The Rise and Fall of a Religious
Empire on the American Frontier",Erik Freeman,,5,1422725675a72cdeef196db9855fe9dd36dbf11200ede8c4312fec44f128d2d3,extracted,not processed,unpacked/COMMUNAL-SOCIETIES-v41-v45/archive/vol41/iss1/004-review-of-kingdom-of-nauvoo-the-rise-and-fall-of-a-religious-empire-on-the-american-frontier.pdf,text/COMMUNAL-SOCIETIES-v41-v45/archive/vol41/iss1/004-review-of-kingdom-of-nauvoo-the-rise-and-fall-of-a-religious-empire-on-the-american-frontier.txt,kind=book_review
