file,score,danger,sanction,governance,child,exit,clinical
recovered/corpus-v21-v25/vol21-25/vol25/iss1/010-dating-and-educational-behaviors-of-hutterian-youth.txt,199,1,9,12,153,13,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/005-roots-of-zoar-part-two.txt,139,6,11,20,59,20,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/007-from-sensual-attraction-to-a-malady-of-the-mind-how-hervey-elkins-loved-and-left-the-shakers.txt,127,11,6,23,31,25,1
recovered/corpus-v21-v25/vol21-25/vol22/iss1/011-between-zion-and-babylon-the-application-of-the-total-institution-model-to-a-christian-charismatic-community-t.txt,122,11,6,38,14,16,3
recovered/corpus-v21-v25/vol21-25/vol25/iss1/007-seeking-prosperity-and-freedom-on-the-oregon-coast-the-bellamy-colony-lincoln-county-oregon-1897-1899.txt,96,3,2,44,15,24,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/004-god-and-gender-structures-of-opportunity-in-an-american-yogic-community.txt,88,4,3,17,48,5,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/004-a-general-typology-of-communalism.txt,83,4,1,24,36,6,1
recovered/corpus-v21-v25/vol21-25/vol23/iss1/007-cabets-recruitment-of-women-for-the-icarian-emigration-to-america-and-womens-sense-of-betrayal.txt,80,8,1,5,19,30,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/005-the-dreams-of-christian-metz-amana-s-charismatic-founding-leader.txt,78,11,1,14,5,24,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/006-the-truth-the-whole-truth-a-re-examination-of-james-hervey-elkins-15-years-in-the-senior-order-of-shakers.txt,76,0,7,19,18,25,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/009-beyond-berlin-heights-the-free-lovers-in-history-and-memory.txt,76,11,3,8,19,10,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/008-harmony-hills-a-twentieth-century-mormon-cooperative.txt,73,5,1,12,35,9,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/006-roots-of-zoar-part-one.txt,72,7,4,23,11,9,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/010-group-conformity-and-the-amplification-of-deviance-a-comparison-of-hutterite-and-mormon-dress-codes.txt,71,2,6,20,25,8,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/009-the-male-work-ethic-was-busted-black-bear-ranch-1968-1974.txt,66,5,3,14,12,19,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/016-review-of-under-the-banner-of-heaven-a-story-of-violent-faith-predators-prey-and-other-kinfolk-growing-up-in-p.txt,64,15,1,3,12,2,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/008-the-moravian-dead-houses-of-labrador-canada.txt,64,2,10,17,8,7,2
recovered/corpus-v21-v25/vol21-25/vol24/iss1/009-searching-for-solidarity-in-uncharted-territory.txt,60,1,3,7,33,8,1
recovered/corpus-v21-v25/vol21-25/vol24/iss1/010-a-good-borderland-cohousing-communities-and-social-change.txt,59,4,1,7,27,11,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/011-intentional-individuals-growing-up-in-radical-christian-communities.txt,59,1,1,1,43,10,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/005-federative-home.txt,58,3,5,7,19,13,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/006-cider-as-a-sign-diverse-interpretations-of-shaker-spirits-and-spirituality.txt,54,5,3,28,5,0,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/009-families-in-contemporary-intentional-communities-diversity-and-purpose.txt,52,2,0,1,41,1,1
