record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0663,recovered/corpus-v26-v28/vol28/iss2/004-waco-and-oneida-the-impact-of-public-opinion-on-the-survival-of-unconventional-religious-communal-groups-in-am.txt,28,2,article,Waco and Oneida: The Impact of Public Opinion on the Survival of Unconventional Religious-Communal Groups in America,Lawrence Foster,23,589,0,97,54,75,19,27,23,14,17,3,1,14,5
M-0667,recovered/corpus-v26-v28/vol28/iss2/008-dark-error-s-night-will-soon-be-gone-dynamics-of-participation-in-new-harmony-1824-1827.txt,28,2,article,"Dark Error's Night Will Soon Be Gone!: Dynamics of Participation in New Harmony, 1824-1827",Peter Hohn,27,546,1,127,19,53,17,27,10,2,3,5,18,21,5
M-0649,recovered/corpus-v26-v28/vol28/iss1/005-evolution-of-the-family-international-children-of-god-in-the-direction-of-a-responsive-communitarian-religion.txt,28,1,article,"Evolution of The Family International/Children of God
in the Direction of a Responsive Communitarian Religion",Gordon Shepherd and Gary Shepherd,28,543,2,14,18,167,261,22,5,2,9,3,8,19,5
M-0603,recovered/corpus-v26-v28/vol26/iss1/010-harmony-in-history-and-memory-1805-2005.txt,26,1,article,"Harmony in History and Memory, 1805-2005",Joseph White,12,527,1,151,3,36,12,11,3,2,0,2,5,1,4
M-0619,recovered/corpus-v26-v28/vol26/iss2/012-the-outlaws-of-kalalau-the-aloha-spirit-and-threats-to-the-commune.txt,26,2,article,"The Outlaws of Kalalau, the Aloha Spirit, and Threats to the Commune",Jeffrey S. Rasley,12,481,2,117,26,22,8,30,6,4,2,3,0,6,4
M-0634,recovered/corpus-v26-v28/vol27/iss1/006-property-and-the-management-of-culture-the-construction-of-community-at-hopedale-1842-1856.txt,27,1,article,"Property and the Management of Culture: The Construction of Community at Hopedale, 1842-1856",Thomas Stone,25,402,1,12,9,278,16,18,12,3,9,2,1,13,5
M-0601,recovered/corpus-v26-v28/vol26/iss1/008-translation-controversy-and-research-strategy-what-can-be-learned-from-george-rapp-s-response-to-a-shaker-s-in.txt,26,1,article,"Translation, Controversy, and Research Strategy: What Can Be Learned from George Rapp's Response to a Shaker's Inquiry",Walter A. Brumm,33,378,0,80,16,30,57,13,2,8,14,3,6,5,5
M-0604,recovered/corpus-v26-v28/vol26/iss1/011-the-society-of-separatists-of-zoar-vs-zoar-and-the-courts.txt,26,1,article,The Society of Separatists of Zoar vs .... ': Zoar and the Courts,Kathleen M. Fernandez,12,359,2,9,89,52,11,85,2,15,0,5,3,5,4
M-0598,recovered/corpus-v26-v28/vol26/iss1/005-harmonie-est-unison-harmony-and-discord-in-the-harmony-society.txt,26,1,article,"Harmonie/est: Unison, Harmony, and Discord in the Harmony Society",Donald E. Pitzer,8,349,3,101,4,19,8,11,0,1,1,2,0,2,4
M-0618,recovered/corpus-v26-v28/vol26/iss2/011-the-concept-of-individualism-in-american-historical-communities.txt,26,2,article,The Concept of Individualism in American Historical Communities,Mark Kruger,26,317,0,23,10,159,23,19,9,10,1,13,1,12,5
M-0633,recovered/corpus-v26-v28/vol27/iss1/005-painting-the-living-scenery-of-amana-a-case-study-of-a-rhetoric-of-containment.txt,27,1,article,Painting the Living Scenery of Amana: A Case Study of a Rhetoric of Containment,Michelle C. Smith,21,309,0,28,46,60,4,51,6,6,6,6,3,8,5
M-0637,recovered/corpus-v26-v28/vol27/iss1/009-good-news-god-is-love-introduction-by-claire-borowik.txt,27,1,article,GOOD NEWS! GOD IS LOVE! (introduction by Claire Borowik),The Family,40,286,0,9,13,40,114,46,11,1,0,1,4,5,4
M-0600,recovered/corpus-v26-v28/vol26/iss1/007-easter-1832-a-brief-interlude-of-peace-for-georg-rapp-s-harmony-society.txt,26,1,article,"Easter, 1832: A Brief Interlude of Peace for Georg Rapp's Harmony Society",Eileen Aiken English,10,247,1,52,13,27,17,18,1,6,2,0,5,12,4
M-0599,recovered/corpus-v26-v28/vol26/iss1/006-harmony-society-silk-a-celebration-of-aesthetics-craftsmanship-and-ideology.txt,26,1,article,"Harmony Society Silk: A Celebration of Aesthetics, Craftsmanship, and Ideology",Emily Lapisardi,10,235,1,63,4,11,11,13,1,3,0,1,0,3,3
M-0648,recovered/corpus-v26-v28/vol28/iss1/004-utopian-communal-experiments-in-tasmania-a-litany-of-failure.txt,28,1,article,Utopian Communal Experiments in Tasmania: A Litany of Failure?,William Metcalf,27,235,0,6,12,87,68,17,7,13,4,5,1,14,5
M-0617,recovered/corpus-v26-v28/vol26/iss2/010-validation-in-the-shaker-era-of-manifestations-a-process-analysis.txt,26,2,article,Validation in the Shaker Era of Manifestations: A Process Analysis,Glendyne Wergland,21,199,0,12,17,57,43,11,6,13,4,7,0,11,4
M-0650,recovered/corpus-v26-v28/vol28/iss1/006-american-communes-and-the-holy-land.txt,28,1,article,American Communes and the Holy Land,Seth J. Frantzman and Ruth Kark,31,198,0,16,14,54,28,31,3,9,6,2,1,13,5
M-0605,recovered/corpus-v26-v28/vol26/iss1/012-simon-beuter-s-journal-as-a-primary-source-for-zoar-history-illustrated-by-passages-dealing-with-the-passing-o.txt,26,1,article,"Simon Beuter's Journal as a Primary Source for Zoar History: Illustrated by Passages Dealing with the Passing of Zoar's Founding Leader, Joseph M. Baumeler",Philip E. Webber,19,189,1,7,15,54,21,54,3,15,2,4,1,8,5
M-0602,recovered/corpus-v26-v28/vol26/iss1/009-a-visit-to-iptingen.txt,26,1,article,A Visit to Iptingen,John S. Ruch,14,176,0,34,7,21,16,17,2,0,0,3,3,5,3
M-0606,recovered/corpus-v26-v28/vol26/iss1/013-changing-pilots-in-mid-stream-how-german-american-communitarian-societies-successfully-handled-the-deaths-of-t.txt,26,1,article,Changing Pilots in Mid-Stream: How German-American Communitarian Societies Successfully Handled the Deaths of Their Founders,Michael Taylor,12,171,1,12,2,87,12,29,1,1,1,1,1,4,5
M-0613,recovered/corpus-v26-v28/vol26/iss2/006-communal-aspects-of-old-order-river-brethren-life.txt,26,2,article,Communal Aspects of Old Order River Brethren Life,"Rod Janzen, Stephen Scott, and Hannah Scott",23,171,0,3,9,43,66,23,4,0,1,4,1,4,4
M-0611,recovered/corpus-v26-v28/vol26/iss2/004-self-unfolding-as-communitarian-vision-brook-farm-s-challenge-to-contemporary-communities.txt,26,2,article,Self-Unfolding as Communitarian Vision: Brook Farm's Challenge to Contemporary Communities,Dan McKanan,18,168,0,7,11,44,46,17,6,5,3,4,1,9,5
M-0665,recovered/corpus-v26-v28/vol28/iss2/006-the-brotherhood-of-the-new-life-brocton-fictionalized-accounts-of-community.txt,28,2,article,"The Brotherhood of the New Life, Brocton: Fictionalized Accounts of Community",Catherine McAllister,15,160,0,10,8,36,44,19,5,7,6,3,5,14,5
M-0616,recovered/corpus-v26-v28/vol26/iss2/009-planned-communities-of-the-new-deal.txt,26,2,article,Planned Communities of the New Deal,Sora H. Friedman,23,159,0,4,1,70,33,12,10,4,4,1,0,17,4
M-0597,recovered/corpus-v26-v28/vol26/iss1/004-the-liebesmahl-in-german-pietist-communal-groups.txt,26,1,article,The Liebesmahl in German Pietist Communal Groups,David B. Eller,18,157,0,26,4,23,11,25,4,0,6,5,0,10,3
M-0664,recovered/corpus-v26-v28/vol28/iss2/005-communalism-in-the-latter-day-saint-movement.txt,28,2,article,Communalism in the Latter Day Saint Movement,Steven L. Shields,22,155,0,4,7,70,34,19,2,1,0,2,0,9,3
M-0612,recovered/corpus-v26-v28/vol26/iss2/005-the-bruderhof-s-system-of-objects-a-case-study-in-material-culture-and-christian-praxis-1920-2001.txt,26,2,article,"The Bruderhof's ""System of Objects"": A Case Study in Material Culture and Christian Praxis, 1920-2001",David J. Howlett,24,146,0,7,6,35,40,17,7,2,3,5,0,10,4
M-0615,recovered/corpus-v26-v28/vol26/iss2/008-the-pilgrimage-of-ralph-albertson.txt,26,2,article,The Pilgrimage of Ralph Albertson,Theodore Kallman,21,142,0,12,11,44,21,16,1,1,1,3,4,3,5
M-0666,recovered/corpus-v26-v28/vol28/iss2/007-mary-baker-eddy-s-households-community-experiments-in-early-christian-science-history.txt,28,2,article,Mary Baker Eddy's Households: Community Experiments in early Christian Science History,Michael W. Hamilton,9,100,0,2,5,30,35,4,5,3,0,0,0,6,2
M-0620,recovered/corpus-v26-v28/vol26/iss2/013-review-of-living-walden-two-b-f-skinner-s-behaviorist-utopia-and-experimental-communities.txt,26,2,book_review,Review of Living Walden Two: B. F. Skinner's Behaviorist Utopia and Experimental Communities,Deborah Altus,6,92,1,0,1,6,3,0,27,0,2,0,6,4,3
M-0627,recovered/corpus-v26-v28/vol26/iss2/020-review-of-power-authority-and-the-anabaptist-tradition.txt,26,2,book_review,"Review of Power, Authority, and the Anabaptist Tradition",Joanna Wiebe,4,83,2,4,5,50,0,5,2,0,1,3,3,2,4
M-0669,recovered/corpus-v26-v28/vol28/iss2/010-review-of-the-order-of-the-solar-temple-the-temple-of-death.txt,28,2,book_review,Review of The Order of the Solar Temple: The Temple of Death,Holly Folk,4,76,0,16,2,10,6,2,2,0,0,0,4,1,2
M-0632,recovered/corpus-v26-v28/vol27/iss1/004-kibbutz-dress-in-dan-s-1950s-caricatures.txt,27,1,article,Kibbutz Dress in Dan's 1950s Caricatures,Anat Helman,26,68,0,2,7,29,2,5,4,4,1,3,2,5,5
M-0614,recovered/corpus-v26-v28/vol26/iss2/007-tourism-encourages-heritage-preservation-in-the-amana-colonies.txt,26,2,article,Tourism Encourages Heritage Preservation in the Amana Colonies,Erika Doot,15,62,0,0,6,22,8,8,4,4,5,1,3,3,5
M-0636,recovered/corpus-v26-v28/vol27/iss1/008-the-socialists-of-oneida-introduction-by-robert-fogarty.txt,27,1,article,The Socialists of Oneida (introduction by Robert Fogarty),Leonard Montefiore,13,44,0,4,3,10,10,6,0,1,0,0,1,0,2
M-0625,recovered/corpus-v26-v28/vol26/iss2/018-review-of-on-the-edge-of-the-future-esalen-and-the-evolution-of-american-culture.txt,26,2,book_review,Review of On the Edge of the Future: Esalen and the Evolution of American Culture,Ruth Baer Lambach,4,30,0,1,0,3,0,0,8,0,1,1,3,5,4
M-0635,recovered/corpus-v26-v28/vol27/iss1/007-philosophical-reflections-on-the-communitarian-vision.txt,27,1,article,Philosophical Reflections on 'The Communitarian Vision',David J. Connell,12,27,0,0,2,8,1,14,0,0,0,0,0,0,0
M-0651,recovered/corpus-v26-v28/vol28/iss1/007-the-kibbutz-and-the-american-communes.txt,28,1,article,The Kibbutz and the American Communes,Yaacov Oved,15,27,0,1,0,11,10,3,0,0,3,0,0,7,2
M-0668,recovered/corpus-v26-v28/vol28/iss2/009-review-of-scattering-of-the-saints-schism-within-mormonism.txt,28,2,book_review,Review of Scattering of the Saints: Schism Within Mormonism,Holly Folk,4,27,1,1,0,10,2,9,1,0,0,1,4,1,3
M-0674,recovered/corpus-v26-v28/vol28/iss2/015-review-of-under-the-banner-of-heaven-a-story-of-violent-faith.txt,28,2,book_review,Review of Under the Banner of Heaven: A Story of Violent Faith,Cadmon Whitty,4,18,1,4,2,2,0,0,0,1,0,0,3,0,2
M-0640,recovered/corpus-v26-v28/vol27/iss1/012-review-of-ecovillages-new-frontiers-for-sustainability.txt,27,1,book_review,Review of Ecovillages: New Frontiers for Sustainability,Joshua Lockyer,5,17,0,0,0,12,1,1,1,0,2,1,3,1,4
M-0624,recovered/corpus-v26-v28/vol26/iss2/017-review-of-interracialism-and-christian-community-in-the-postwar-south-the-story-of-koinonia-farm.txt,26,2,book_review,Review of Interracialism and Christian Community in the Postwar South: The Story of Koinonia Farm,Ruth Baer Lambach,4,15,0,2,0,2,5,2,0,0,0,0,3,1,2
M-0653,recovered/corpus-v26-v28/vol28/iss1/009-review-of-eating-in-eden-food-and-american-utopias.txt,28,1,book_review,Review of Eating in Eden: Food and American Utopias,Carl J. Guarneri,4,15,0,0,2,1,1,0,3,0,2,2,4,1,4
M-0672,recovered/corpus-v26-v28/vol28/iss2/013-review-of-the-catholic-worker-after-dorothy-practicing-the-works-of-mercy-in-a-new-generation.txt,28,2,book_review,Review of The Catholic Worker After Dorothy: Practicing the Works of Mercy in a New Generation,Chris L. Rice,4,15,0,0,1,3,0,1,3,1,0,0,3,0,2
M-0623,recovered/corpus-v26-v28/vol26/iss2/016-review-of-one-shaker-life-isaac-newton-youngs-1793-1865.txt,26,2,book_review,"Review of One Shaker Life: Isaac Newton Youngs, 1793-1865",Lawrence Foster,4,14,0,1,1,4,4,1,0,0,2,0,4,0,2
M-0639,recovered/corpus-v26-v28/vol27/iss1/011-review-of-pilgrims-of-love-the-anthropology-of-a-global-sufi-cult.txt,27,1,book_review,Review of Pilgrims of Love: The Anthropology of a Global Sufi Cult,Holly Folk,3,14,0,0,2,6,1,3,0,0,0,0,3,1,2
