record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0803,recovered/corpus-v33/vol33/iss1/006-the-life-and-legacy-of-count-leon-the-man-who-cleft-the-harmonie.txt,33,1,article,The Life and Legacy of Count Leon: The Man Who Cleft the Harmonie,Eileen Aiken English,39,586,1,88,54,90,56,50,6,30,3,10,9,22,5
M-0802,recovered/corpus-v33/vol33/iss1/005-let-down-your-buckets-declension-and-the-debate-on-shaker-marginality.txt,33,1,article,"""Let Down Your Buckets"": Declension and the Debate on Shaker Marginality",Wendy Wood Davis,27,196,0,6,24,58,22,41,3,8,2,5,6,13,5
M-0818,recovered/corpus-v33/vol33/iss2/007-a-community-of-bruderhof-leavers-reflections-on-the-kit-hummer-process.txt,33,2,article,A Community of Bruderhof Leavers: Reflections on the KIT /Hummer Process,J. Timothy Johnson and Ruth Lambach,21,173,0,5,9,37,47,35,7,6,2,2,2,14,5
M-0815,recovered/corpus-v33/vol33/iss2/004-the-sholem-community-reimagining-a-jewish-agricultural-community-as-the-first-jewish-resort-in-the-catskill-mo.txt,33,2,article,The Sholem Community: Reimagining a Jewish Agricultural Community as the First Jewish Resort in the Catskill Mountains,Michele Ferris,29,155,0,9,18,41,20,13,6,5,0,2,7,11,4
M-0816,recovered/corpus-v33/vol33/iss2/005-a-silver-light-and-a-golden-wheel-shaker-gift-drawing-and-sacred-text-as-a-communal-enterprise.txt,33,2,article,A Silver Light and a Golden Wheel: Shaker Gift Drawing and Sacred Text as a Communal Enterprise,Jane F. Crosthwaite,25,149,0,9,16,36,22,11,7,3,5,5,2,9,5
M-0801,recovered/corpus-v33/vol33/iss1/004-forerunner-of-liberation-theology-the-oneida-community-s-perfectionist-vision-in-practice.txt,33,1,article,Forerunner of Liberation Theology: The Oneida Community's Perfectionist Vision in Practice,Giles Wayland-Smith,18,112,0,1,9,37,24,12,6,2,2,1,1,6,5
M-0805,recovered/corpus-v33/vol33/iss1/008-review-of-the-mormon-menace-violence-and-anti-mormonism-in-the-postbellum-south.txt,33,1,book_review,Review of The Mormon Menace: Violence and Anti-Mormonism in the Postbellum South,Nathaniel Wiewora,4,60,1,19,1,0,1,0,0,0,2,1,4,1,4
M-0821,recovered/corpus-v33/vol33/iss2/010-review-of-gospel-according-to-the-klan-the-kkk-s-appeal-to-protestant-america-1915-193-0.txt,33,2,book_review,"Review of Gospel According to the Klan: The KKK' s Appeal to Protestant America, 1915-193 0",Martin E. Marty,4,47,1,10,3,7,0,1,1,1,0,1,8,0,3
M-0825,recovered/corpus-v33/vol33/iss2/014-review-of-fool-s-gold-utopianism-in-the-twenty-first-century.txt,33,2,book_review,Review of Fool's Gold? Utopianism in the Twenty-First Century,Eliezer Ben-Rafael,5,42,0,5,3,12,0,6,1,0,1,3,5,0,3
M-0810,recovered/corpus-v33/vol33/iss1/013-review-of-fruitlands-the-alcott-family-and-their-search-for-utopia.txt,33,1,book_review,Review of Fruitlands: The Alcott Family and Their Search for Utopia,Debra Meyers,5,37,1,4,0,1,20,1,1,0,0,1,5,2,3
M-0806,recovered/corpus-v33/vol33/iss1/009-review-of-a-peculiar-people-anti-mormonism-and-the-making-of-religion-in-nineteenth-century-america.txt,33,1,book_review,"Review of ""A Peculiar People"": Anti-Mormonism and the Making of Religion in Nineteenth-Century America",Barton E. Price,5,35,0,0,4,18,1,2,2,1,1,2,5,0,4
M-0831,recovered/corpus-v33/vol33/iss2/020-review-of-radiance-from-halcyon-a-utopian-experiment-in-religion-and-science.txt,33,2,book_review,Review of Radiance from Halcyon: A Utopian Experiment in Religion and Science,W. Michael Ashcraft,4,34,0,2,1,5,2,1,6,0,1,0,4,0,2
M-0822,recovered/corpus-v33/vol33/iss2/011-review-of-inside-the-ark-the-hutterites-in-canada-and-the-united-states.txt,33,2,book_review,Review of Inside the Ark: The Hutterites in Canada and the United---States,Timothy Miller,4,31,0,2,1,7,3,7,2,0,1,1,6,1,4
M-0819,recovered/corpus-v33/vol33/iss2/008-review-of-arcadia.txt,33,2,book_review,Review of Arcadia,Deborah E. Altus,5,27,0,3,1,11,4,1,0,1,0,0,9,2,3
M-0829,recovered/corpus-v33/vol33/iss2/018-review-of-the-wisdom-of-stability-rooting-faith-in-a-mobile-culture.txt,33,2,book_review,Review of The Wisdom of Stability: Rooting Faith in a Mobile Culture,Curtiss L. Mortimer,4,25,0,0,1,3,3,2,5,0,0,1,4,0,2
M-0832,recovered/corpus-v33/vol33/iss2/021-review-of-the-communal-age-in-western-europe-c-1100-1800-towns-villages-and-parishes-in-pre-modem-society.txt,33,2,book_review,"Review of The Communal Age in Western Europe, c. 1100-1800: Towns, Villages, and Parishes in Pre-Modem Society",Ezra L. Plank,5,25,0,2,1,11,1,2,1,0,4,0,6,5,3
M-0828,recovered/corpus-v33/vol33/iss2/017-review-of-the-encyclopedic-guide-to-american-intentional-communities.txt,33,2,book_review,Review of The Encyclopedic Guide to American Intentional Communities,Donald E. Janzen,4,16,0,0,1,7,2,5,0,1,0,0,9,0,2
M-0807,recovered/corpus-v33/vol33/iss1/010-review-of-an-unreal-estate-sustainability-and-freedom-in-an-evolving-community.txt,33,1,book_review,Review of An Unreal Estate: Sustainability and Freedom in an Evolving Community,Timothy Miller,4,14,0,3,0,3,2,0,0,0,0,0,5,0,1
