record_id,file,volume,issue,kind,functional_class,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0107,recovered/corpus-v44/vol44/iss2/005-kiantone-harmonia-john-murray-spears-enchanted-electric-utopia-1844-1863.txt,44,2,article,substantive,"Kiantone Harmonia: John Murray Spearâ•Žs Enchanted Electric Utopia, 1844-1863",Mitchell K. Jones,35,892,1,196,52,128,18,12,14,24,12,8,6,28,5
M-0086,recovered/corpus-v44/vol44/iss1/004-josiah-warren-seen-in-the-light-of-developmental-communalism-and-vice-versa.txt,44,1,article,substantive,"Josiah Warren Seen in the Light of Developmental Communalism, and Vice Versa",Neil Wright,28,528,0,70,28,165,10,15,24,2,21,6,4,21,5
M-0106,recovered/corpus-v44/vol44/iss2/004-counting-the-cost-shaker-celibacy.txt,44,2,article,substantive,Counting the Cost: Shaker Celibacy,Mary Ann Haagen,17,398,0,26,32,98,112,34,4,10,6,6,0,6,4
M-0113,recovered/corpus-v44/vol44/iss2/011-review-of-the-sullivanians-sex-psychotherapy-and-the-wild-life-of-an-american-commune.txt,44,2,book_review,substantive,"Review of The Sullivanians: Sex, Psychotherapy, and the Wild Life of an American Commune",Susan Love Brown,6,382,1,23,10,34,60,13,62,0,0,3,8,3,3
M-0085,recovered/corpus-v44/vol44/iss1/003-frances-wright-developmental-communalism-and-the-evolution-of-a-social-activist.txt,44,1,article,substantive,"Frances Wright, Developmental Communalism and the Evolution of a Social Activist",Cheryl Coulthard,17,370,0,60,12,62,48,26,10,0,2,10,8,16,4
M-0093,recovered/corpus-v44/vol44/iss1/011-review-of-unveiled-a-story-of-surviving-gloriavale.txt,44,1,book_review,substantive,Review of Unveiled: A Story of Surviving Gloriavale,William J. Metcalf,5,226,0,34,14,34,32,6,8,6,2,0,7,0,3
M-0109,recovered/corpus-v44/vol44/iss2/007-review-of-christoph-weber-redware-potter-of-the-harmony-society.txt,44,2,book_review,substantive,Review of Christoph Weber: Redware Potter of the Harmony Society,Christoper Malone,4,126,1,36,3,2,2,2,2,0,5,2,7,1,4
M-0108,recovered/corpus-v44/vol44/iss2/006-before-living-the-good-life-scott-nearings-unpublished-novel-arden-town.txt,44,2,article,substantive,Before Living the Good Life: Scott Nearingâ•Žs Unpublished Novel Arden Town,Jeremy E. C. Genovese,10,116,0,14,1,32,16,6,6,0,1,2,2,11,4
M-0089,recovered/corpus-v44/vol44/iss1/007-review-of-the-earth-for-all-henry-george-utopian-communities-and-market-socialism.txt,44,1,book_review,substantive,"Review of The Earth for All: Henry George, Utopian Communities, and Market Socialism",Neil Wright,5,100,0,0,18,12,0,4,16,0,2,20,7,0,3
M-0090,recovered/corpus-v44/vol44/iss1/008-review-of-faith-in-markets-christian-capitalism-in-the-early-american-republic.txt,44,1,book_review,substantive,Review of Faith in Markets: Christian Capitalism in the Early American Republic,Jeremy E. C. Slaughter,5,96,0,22,2,6,2,6,4,0,0,0,7,6,2
M-0114,recovered/corpus-v44/vol44/iss2/012-review-of-unholy-sensations-a-story-of-sex-scandal-and-californias-first-cult-scare.txt,44,2,book_review,substantive,"Review of Unholy Sensations: A Story of Sex, Scandal and Californiaâ•Žs First Cult Scare",Stephen Lloyd Moffat,5,75,0,7,12,17,4,3,2,8,4,3,6,6,5
M-0112,recovered/corpus-v44/vol44/iss2/010-review-of-navigating-tradition-and-innovation-essays-commemorating-the-permanent-settlement-of-hutterites-in-m.txt,44,2,book_review,substantive,Review of Navigating Tradition and Innovation: Essays Commemorating the Permanent Settlement of Hutterites in Manitoba,John Lehr,5,58,0,8,0,10,2,10,4,0,6,0,7,4,3
M-0099,recovered/corpus-v44/vol44/iss1/017-review-of-under-the-banner-of-heaven.txt,44,1,book_review,substantive,Review of Under the Banner of Heaven,Stephanie Valeska LÃ³pez Griswold,3,48,0,12,0,6,6,0,0,2,0,0,6,0,2
M-0098,recovered/corpus-v44/vol44/iss1/016-review-of-music-on-the-prairies-the-janssonist-tune-book.txt,44,1,book_review,substantive,Review of Music on the Prairies: The Janssonist Tune-Book,Carol Medlicott,5,42,0,2,0,10,2,6,6,2,2,6,2,4,5
M-0110,recovered/corpus-v44/vol44/iss2/008-review-of-inventor-of-the-future-the-visionary-life-of-buckminster-fuller.txt,44,2,book_review,substantive,Review of Inventor of the Future: The Visionary Life of Buckminster Fuller,Jeremy E. C. Genovese,5,40,0,0,2,22,6,2,2,0,0,0,9,0,1
M-0111,recovered/corpus-v44/vol44/iss2/009-review-of-the-mental-mechanism-of-dr-sivartha.txt,44,2,book_review,substantive,Review of The Mental Mechanism of Dr. Sivartha,Mitchell K. Jones,5,38,1,0,0,6,2,0,10,0,0,0,7,0,1
M-0092,recovered/corpus-v44/vol44/iss1/010-review-of-holy-food-how-cults-communes-and-religious-movements-influenced-what-we-eat-an-american-history.txt,44,1,book_review,substantive,"Review of Holy Food: How Cults, Communes, and Religious Movements Influenced What We Eat, An American History",Mitchell K. Jones,5,36,0,4,2,10,10,0,0,0,2,2,7,0,3
M-0096,recovered/corpus-v44/vol44/iss1/014-review-of-eden-undone-a-true-story-of-sex-murder-and-utopia-at-the-dawn-of-world-war-ii.txt,44,1,book_review,substantive,"Review of Eden Undone: A True Story of Sex, Murder, and Utopia at the Dawn of World War II",Etta M. Madden,3,28,1,6,0,6,2,2,0,0,0,0,2,0,1
M-0100,recovered/corpus-v44/vol44/iss1/018-review-of-zoar-clothing-register.txt,44,1,book_review,substantive,Review of Zoar Clothing Register,Kathleen Fernandez,3,20,0,0,0,2,2,10,2,0,0,0,2,0,1
M-0094,recovered/corpus-v44/vol44/iss1/012-review-of-american-utopia.txt,44,1,book_review,substantive,Review of American Utopia,Bethany J. McGlyn,3,16,0,0,0,12,2,2,0,0,0,0,2,0,1
M-0087,recovered/corpus-v44/vol44/iss1/005-review-of-americas-utopian-moment-essays-on-the-fourierist-movement-and-its-context.txt,44,1,book_review,substantive,Review of Americaâ•Žs Utopian Moment: Essays on the Fourierist Movement and Its Context,Amy Hart,5,15,0,2,0,5,2,2,0,0,6,0,8,1,3
M-0095,recovered/corpus-v44/vol44/iss1/013-review-of-burn-using-fire-to-cool-the-earth.txt,44,1,book_review,substantive,Review of Burn: Using Fire to Cool the Earth,Gregory W. Brown,3,12,0,0,0,6,0,0,2,0,0,0,4,0,1
M-0088,recovered/corpus-v44/vol44/iss1/006-review-of-american-zion-a-new-mormon-history.txt,44,1,book_review,substantive,Review of American Zion: A New Mormon History,Erik J. Freeman,4,7,0,0,0,2,2,3,0,0,1,0,6,0,2
M-0091,recovered/corpus-v44/vol44/iss1/009-review-of-for-gods-truth-a-hutterite-history-reader.txt,44,1,book_review,substantive,Review of For Godâ•Žs Truth: A Hutterite History Reader,Rod Janzen and Kenny Wollmann,3,6,0,0,0,0,0,0,2,0,0,2,7,2,3
M-0097,recovered/corpus-v44/vol44/iss1/015-review-of-mingas-solidarity.txt,44,1,book_review,substantive,Review of Mingas+Solidarity,Joshua Lockyer,3,2,0,0,0,0,2,0,0,0,0,0,4,0,1
M-0105,recovered/corpus-v44/vol44/iss2/003-from-the-editors.txt,44,2,editorial,metadata,From the Editors,Heather Van Wormer and Cheryl Coulthard,3,30,0,6,2,8,0,0,0,0,4,0,8,2,3
M-0102,recovered/corpus-v44/vol44/iss1/020-table-of-contents.txt,44,1,table_of_contents,metadata,Table of Contents,,4,20,0,4,2,0,0,4,0,0,0,0,26,0,1
M-0103,recovered/corpus-v44/vol44/iss2/001-front-matter.txt,44,2,front_matter,metadata,Front Matter,,7,20,0,2,4,4,0,2,0,0,0,4,9,0,2
M-0083,recovered/corpus-v44/vol44/iss1/001-front-matter.txt,44,1,front_matter,metadata,Front Matter,,5,14,0,0,4,4,0,2,0,0,0,4,10,0,2
M-0104,recovered/corpus-v44/vol44/iss2/002-contents.txt,44,2,contents,metadata,Contents,,3,12,0,2,0,0,0,0,2,0,0,0,7,0,1
M-0084,recovered/corpus-v44/vol44/iss1/002-from-the-editors.txt,44,1,editorial,metadata,From the Editors,Heather Van Wormer and Cheryl Coulthard,3,8,0,2,0,2,0,0,0,0,0,0,8,0,1
M-0101,recovered/corpus-v44/vol44/iss1/019-back-matter.txt,44,1,back_matter,metadata,Back Matter,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-0115,recovered/corpus-v44/vol44/iss2/013-back-matter.txt,44,2,back_matter,metadata,Back Matter,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
